"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2020-01-08,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-09,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
